playbook_id,category,name,layer,source,status,scope,required_documents
ID-1,Application/Identity,Borrower name consistency,DET-FUZZY,Both,NOW,IN,"Application/1003 (MISMO), Driver's license/ID, Pay stub, W-2, Bank statement"
ID-2,Application/Identity,SSN consistency,DET,Both,EXTRACT,IN,"Application (MISMO), W-2, Credit report, any doc with SSN"
ID-3,Application/Identity,DOB consistency,DET,Both,EXTRACT,IN,"Driver's license/ID, Application (MISMO)"
ID-4,Application/Identity,Current address consistency,DET-FUZZY,ChatGPT,EXTRACT,IN,"Application (MISMO), Credit report, Bank statement, Pay stub"
ID-5,Application/Identity,ID expiration,DET,Both,NOW,IN,Driver's license / State ID / Passport
ID-6,Application/Identity,Application completeness (1003),DET,ChatGPT,EXTRACT,IN,Application / 1003 (MISMO)
ID-7,Application/Identity,Marital status / title consistency,DET,ChatGPT,EXTRACT,?,"Application (MISMO), Title commitment"
ID-8,Application/Identity,Citizenship / residency eligibility,DET+AI,ChatGPT,EXTRACT,?,"Application (MISMO), Green card / Visa / Immigration documents"
ID-9,Application/Identity,Power of attorney acceptability,AI,ChatGPT,BLOCKED,?,Power of attorney document
ID-10,Application/Identity,OFAC / fraud / sanctions check,DET,ChatGPT,BLOCKED,OUT,Fraud/sanctions service report (external)
CR-1,Credit/Liabilities,Undisclosed liability (MISMO vs app),DET,Claude,NOW,IN,"Application (MISMO liabilities), (DTI is computed from these)"
CR-2,Credit/Liabilities,HELOC in HCLTV,DET,Claude,NOW,IN,Application (MISMO - HELOC liability with credit limit)
CR-3,Credit/Liabilities,Paid-to-qualify verification,DET,Claude,NOW,IN,"Application (MISMO exclusion flags), Payoff statement / paid-in-full letter"
CR-4,Credit/Liabilities,Undisclosed tradeline (report vs app),DET-FUZZY,Both,BLOCKED,IN,"Credit report (tradelines), Application (stated liabilities)"
CR-5,Credit/Liabilities,Credit inquiry LOE,DET,Both,BLOCKED,IN,"Credit report (inquiries), Letters of explanation on file"
CR-6,Credit/Liabilities,Derogatory seasoning,DET,Both,BLOCKED,IN,"Credit report (public records), (Loan program)"
CR-7,Credit/Liabilities,Minimum credit score,DET,Both,BLOCKED,IN,Credit report (scores)
CR-8,Credit/Liabilities,Mortgage payment history,DET,ChatGPT,BLOCKED,IN,Credit report (mortgage tradelines)
CR-9,Credit/Liabilities,Student loan payment calculation,DET,ChatGPT,BLOCKED,IN,"Credit report (student loans), (Loan program)"
CR-10,Credit/Liabilities,Collections / charge-offs treatment,DET+AI,ChatGPT,BLOCKED,IN,"Credit report (collections/charge-offs), (Loan program)"
CR-11,Credit/Liabilities,Judgments / liens resolution,DET,ChatGPT,BLOCKED,IN,"Credit report (public records), Title commitment"
CR-12,Credit/Liabilities,Disputed accounts,DET+AI,ChatGPT,BLOCKED,IN,Credit report (dispute flags)
CR-13,Credit/Liabilities,Credit report validity at closing,DET,Claude,BLOCKED,IN,"Credit report (date), Purchase agreement (closing date)"
IN-1,Income/Employment,Stated vs documented income variance,DET,Claude,EXISTS?,IN,"Application (stated income), Pay stub, W-2"
IN-2,Income/Employment,Pay stub recency,DET,Both,NOW,IN,Pay stub
IN-3,Income/Employment,YTD income consistency,DET,Claude,NOW,IN,Pay stub (YTD + pay date)
IN-4,Income/Employment,Employment gap,DET,Both,EXTRACT,IN,"Application (employment history), VOE, Pay stub"
IN-5,Income/Employment,Employer name consistency (LP-115),DET-FUZZY,Both,IN PROGRESS,IN,"Application (stated employer), Pay stub, W-2"
IN-6,Income/Employment,Pay-stub <-> W-2 employer coverage,DET-FUZZY,Claude,NOW,IN,"Pay stub, W-2"
IN-7,Income/Employment,Same line of work (job change),AI,ChatGPT,EXTRACT,IN,"Pay stub, VOE, Offer letter, Application (employment history)"
IN-8,Income/Employment,VOE present,DET,Both,EXTRACT,IN,Written VOE or Verbal VOE
IN-9,Income/Employment,Future employment (offer letter),DET,ChatGPT,EXTRACT,IN,"Offer letter, First pay stub"
IN-10,Income/Employment,Declining income,DEFERRED-DET,Both,NOW*,IN,"W-2 (2 years), Pay stub (YTD)"
IN-11,Income/Employment,Variable income averaging / history,DEFERRED-DET,Both,NOW*,IN,"Pay stub (YTD variable), W-2 (2 years)"
IN-12,Income/Employment,Self-employment income analysis,DEFERRED-DET,Both,EXTRACT,IN,"Personal tax returns (1-2 yrs), Business tax returns, K-1, P&L, Balance sheet, CPA letter, Business license"
IN-13,Income/Employment,Other income continuance,DET+AI,ChatGPT,EXTRACT,?,"Award letter, Court order, 1099-R, Bank statements (deposit proof)"
IN-14,Income/Employment,Rental income support,DET+AI,ChatGPT,EXTRACT,?,"Lease agreement, Tax returns (Schedule E), Appraisal rent schedule (1007/1025)"
AS-1,Assets,Large-deposit sourcing sweep,DET+AI,Both,NOW,IN,"Bank/asset statements, plus any Gift letter / sale documents / transfer evidence that sources a deposit"
AS-2,Assets,Earnest money deposit sourcing,DET+AI,Both,NOW,IN,"Purchase agreement (EMD amount), Bank statement (showing the debit), Cancelled check/wire"
AS-3,Assets,Cash-to-close sufficiency,DET,Claude,NOW,IN,"Bank/asset statements, Loan Estimate/CD (costs), (reserves from the calculator)"
AS-4,Assets,Reserves adequacy,DET,Both,EXISTS?,IN,Bank/asset/retirement statements
AS-5,Assets,Gift-fund documentation chain,DET+AI,Both,NOW,IN,"Gift letter, Donor bank statement, Bank statement (showing the gift deposit), Transfer/wire evidence"
AS-6,Assets,Account ownership,DET-FUZZY,Both,EXTRACT,IN,Bank/asset statement (account holder name)
AS-7,Assets,NSF / overdraft flag,DET+AI,Both,NOW,IN,Bank statement
AS-8,Assets,Statement chaining (continuity),DET,Claude,NOW,IN,Bank/asset statements (2+ for the account)
AS-9,Assets,Missing pages,DET,Claude,EXTRACT,IN,Bank/asset statement (with declared page count)
AS-10,Assets,Statement recency completeness (enough months),DET,Claude,NOW,IN,Bank/asset statements
AS-11,Assets,Retirement/stock liquidation terms,DET+AI,ChatGPT,EXTRACT,?,"Retirement/investment account statement, Plan terms"
AS-12,Assets,Borrowed funds detection,AI,ChatGPT,NOW,IN,"Bank statements, (any loan documents)"
DT-1,DTI/ATR,DTI ratio vs limit,CALC,Both,EXISTS,IN,(Computed from income + liabilities - the calculator)
DT-2,DTI/ATR,HOA dues in DTI,DET,ChatGPT,EXISTS?,IN,"Purchase agreement / HOA statement / Condo docs, (DTI inputs)"
DT-3,DTI/ATR,Mortgage insurance in DTI,DET,ChatGPT,EXISTS?,IN,"(MI factor / certificate), (DTI inputs)"
DT-4,DTI/ATR,Property taxes estimate,DET+AI,ChatGPT,EXTRACT,IN,"Tax bill / assessment, Purchase agreement, Title"
DT-5,DTI/ATR,Insurance premium in DTI,DET,Both,NOW,IN,"Insurance binder/quote, (DTI inputs)"
DT-6,DTI/ATR,Retained-property PITIA,DET,ChatGPT,EXTRACT,IN,"Application (REO), Mortgage statements, Lease (for rental offset)"
DT-7,DTI/ATR,ATR documentation completeness,DET+AI,ChatGPT,EXTRACT,?,"Income docs, Asset docs, Credit report, (DTI computation)"
PR-1,Property,LTV / CLTV / HCLTV limits,CALC,Both,EXISTS?,IN,(Computed from loan amount + value - the calculator)
PR-2,Property,Appraised value vs purchase price,DET,Both,NOW,IN,"Purchase agreement, Appraisal report"
PR-3,Property,Property type eligibility,DET+AI,Both,EXTRACT,IN,"Appraisal (property type), Application"
PR-4,Property,Appraisal completeness,DET+AI,ChatGPT,BLOCKED,IN,Appraisal report
PR-5,Property,Appraisal condition rating,AI,ChatGPT,BLOCKED,IN,Appraisal report
PR-6,Property,Appraisal validity at closing,DET,Both,EXTRACT,IN,"Appraisal report (date), Purchase agreement (closing date)"
PR-7,Property,Appraisal address matches,DET-FUZZY,ChatGPT,BLOCKED,IN,"Appraisal, Purchase agreement, Application (MISMO), Title"
PR-8,Property,Disaster-area reinspection,DET+AI,ChatGPT,BLOCKED,?,"Appraisal, Disaster declaration data, Reinspection (1004D)"
OC-1,Occupancy,Occupancy consistency,DET+AI,Both,EXTRACT,IN,"Application (occupancy), Driver's license, Bank/paystub (address)"
OC-2,Occupancy,Occupancy reasonableness,AI,Both,EXTRACT,IN,"Application, Existing REO, Employer address"
OC-3,Occupancy,Investment rental support,DET+AI,ChatGPT,EXTRACT,?,"Lease, Appraisal rent schedule, Tax returns (Schedule E)"
