tag_id,subject_id,subject_kind,document_type,source_document,scoring,allowed_values,consuming_rules,rule_status,context,golden_label,labeler_note,Note
income.has_2yr_history,93000000-0000-4000-8000-000000000003,borrower,borrower,W-2: Acme Freight Co 2024; W-2: Acme Freight Co 2025,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Acme Freight Co; wages_tips_other_comp=80000; occupation=Freight Coordinator || [w2] tax_year=2025; employer_name=Acme Freight Co; wages_tips_other_comp=60000; occupation=Freight Coordinator | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,why wage is less in 2025. Letter of explaination needed.
income.has_2yr_history,93000000-0000-4000-8000-000000000004,borrower,borrower,W-2: Acme Freight Co 2024; W-2: Acme Freight Co 2025,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Acme Freight Co; wages_tips_other_comp=60000; occupation=Dispatcher || [w2] tax_year=2025; employer_name=Acme Freight Co; wages_tips_other_comp=75000; occupation=Dispatcher | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,"Wage is increasing so good, but if hike is more than 20%, then explanation letter needed."
income.has_2yr_history,93000000-0000-4000-8000-000000000005,borrower,borrower,W-2: Bright Retail LLC 2025,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2025; employer_name=Bright Retail LLC; wages_tips_other_comp=52000; occupation=Sales Associate | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,no,,It is just one year.
income.has_2yr_history,93000000-0000-4000-8000-000000000006,borrower,borrower,W-2: Cedar Manufacturing 2023; W-2: Cedar Manufacturing 2024; W-2: Cedar Manufacturing 2025,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2023; employer_name=Cedar Manufacturing; wages_tips_other_comp=58000; occupation=Machine Operator || [w2] tax_year=2024; employer_name=Cedar Manufacturing; wages_tips_other_comp=60000; occupation=Machine Operator || [w2] tax_year=2025; employer_name=Cedar Manufacturing; wages_tips_other_comp=61500; occupation=Machine Operator | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,
income.has_2yr_history,93000000-0000-4000-8000-000000000007,borrower,borrower,W-2: Riverside Medical Center 2025; W-2: Springfield General Hospital 2024,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Springfield General Hospital; wages_tips_other_comp=72000; occupation=Registered Nurse || [w2] tax_year=2025; employer_name=Riverside Medical Center; wages_tips_other_comp=74000; occupation=Registered Nurse | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,Line of work seems same.
income.has_2yr_history,93000000-0000-4000-8000-000000000008,borrower,borrower,W-2: Delta Business Services 2025; W-2: Pioneer Distribution 2024,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Pioneer Distribution; wages_tips_other_comp=45000; occupation=Warehouse Picker || [w2] tax_year=2025; employer_name=Delta Business Services; wages_tips_other_comp=48000; occupation=Office Administrator | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,"Came from blue color to white color job, here paystub is important"
income.has_2yr_history,93000000-0000-4000-8000-000000000009,borrower,borrower,W-2: Harbor Foods Inc 2024; W-2: Harbor Foods Inc 2025,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Harbor Foods Inc; wages_tips_other_comp=70000; occupation=Production Worker || [w2] tax_year=2025; employer_name=Harbor Foods Inc; wages_tips_other_comp=68500; occupation=Production Worker | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,Need clarification on declining
income.has_2yr_history,93000000-0000-4000-8000-000000000010,borrower,borrower,VOE: Lakeside Systems; W-2: Lakeside Systems 2025,enum,yes | no | unknown,IN-3,LIVE,[voe] employer_name=Lakeside Systems; start_date=2024-07-01; occupation=Systems Analyst || [w2] tax_year=2025; employer_name=Lakeside Systems; wages_tips_other_comp=63000; occupation=Systems Analyst | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,no,,Why there is no w2 for 2024? Need explanation.
income.has_2yr_history,93000000-0000-4000-8000-000000000011,borrower,borrower,W-2: Summit Stores 2024; W-2: Summit Stores 2025,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Summit Stores; wages_tips_other_comp=38000; occupation=Retail Cashier || [w2] tax_year=2025; employer_name=Summit Stores; wages_tips_other_comp=46000; occupation=Retail Supervisor | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,
income.has_2yr_history,93000000-0000-4000-8000-000000000012,borrower,borrower,Pay stub: Vertex Capital; Pay stub: Vertex Capital,enum,yes | no | unknown,IN-3,LIVE,[pay_stub] tax_year=2024; employer_name=Vertex Capital; occupation=Financial Analyst; base_salary=90000; bonus=10000; wages_tips_other_comp=100000 || [pay_stub] tax_year=2025; employer_name=Vertex Capital; occupation=Financial Analyst; base_salary=78000; bonus=22000; wages_tips_other_comp=100000 | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,"Because, only paystub is presented no w2 are there. Check it has 1099 or not? | LP-393-6 RE-LABEL per Priya's ruling: has_2yr_history asks about HISTORY only (>=2 consecutive years evidenced) - it IS present here. The pay-stub-only / W-2-1099 documentation requirement is a SEPARATE check (its own candidate rule). Original label: unknown."
income.has_2yr_history,93000000-0000-4000-8000-000000000013,borrower,borrower,W-2: Crestline Freight 2025; W-2: Northwind Logistics 2024,enum,yes | no | unknown,IN-3,LIVE,[w2] tax_year=2024; employer_name=Northwind Logistics; wages_tips_other_comp=64000; occupation=Logistics Coordinator || [w2] tax_year=2025; employer_name=Crestline Freight; wages_tips_other_comp=66000; occupation=Logistics Coordinator | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,
income.has_2yr_history,93000000-0000-4000-8000-000000000014,borrower,borrower,VOE: Beacon Contract Staffing; W-2: Beacon Contract Staffing 2024; W-2: Beacon Contract Staffing 2025,enum,yes | no | unknown,IN-3,LIVE,[voe] employer_name=Beacon Contract Staffing; start_date=2024-07-01; end_date=2026-06-30; occupation=Project Analyst || [w2] tax_year=2024; employer_name=Beacon Contract Staffing; wages_tips_other_comp=70000; occupation=Project Analyst || [w2] tax_year=2025; employer_name=Beacon Contract Staffing; wages_tips_other_comp=71000; occupation=Project Analyst | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,"Looks like currently uneployed as VOE stated job finished on 2026-06-30, If they have new offer letter then need atleast one paystub. | LP-393-6 RE-LABEL per Priya's ruling: a TERMINATED job's two years DOES still count as HISTORY (two W-2s present); the ended-job / offer-letter + paystub concern is a SEPARATE continuation check (its own candidate rule). Original label: no."
income.has_2yr_history,93000000-0000-4000-8000-000000000015,borrower,borrower,VOE: Evergreen Utilities; W-2: Evergreen Utilities 2024; W-2: Evergreen Utilities 2025,enum,yes | no | unknown,IN-3,LIVE,[voe] employer_name=Evergreen Utilities; start_date=2019-03-01; occupation=Operations Specialist || [w2] tax_year=2024; employer_name=Evergreen Utilities; wages_tips_other_comp=82000; occupation=Operations Specialist || [w2] tax_year=2025; employer_name=Evergreen Utilities; wages_tips_other_comp=84000; occupation=Operations Specialist | Do these income documents EVIDENCE this income across at least TWO consecutive years? yes / no / unknown,yes,,
income.is_declining,93000000-0000-4000-8000-000000000003,borrower,borrower,W-2: Acme Freight Co 2024; W-2: Acme Freight Co 2025,enum,yes | no | unknown,IN-1,LIVE,"[w2] tax_year=2024; employer_name=Acme Freight Co; wages_tips_other_comp=80000; occupation=Freight Coordinator || [w2] tax_year=2025; employer_name=Acme Freight Co; wages_tips_other_comp=60000; occupation=Freight Coordinator | Comparing the documented income across the years shown, is there a year-over-year DECREASE? yes / no / unknown",yes,,But need explanation of decline.
income.is_declining,93000000-0000-4000-8000-000000000004,borrower,borrower,W-2: Acme Freight Co 2024; W-2: Acme Freight Co 2025,enum,yes | no | unknown,IN-1,LIVE,"[w2] tax_year=2024; employer_name=Acme Freight Co; wages_tips_other_comp=60000; occupation=Dispatcher || [w2] tax_year=2025; employer_name=Acme Freight Co; wages_tips_other_comp=75000; occupation=Dispatcher | Comparing the documented income across the years shown, is there a year-over-year DECREASE? yes / no / unknown",no,,
income.is_declining,93000000-0000-4000-8000-000000000005,borrower,borrower,W-2: Bright Retail LLC 2025,enum,yes | no | unknown,IN-1,LIVE,"[w2] tax_year=2025; employer_name=Bright Retail LLC; wages_tips_other_comp=52000; occupation=Sales Associate | Comparing the documented income across the years shown, is there a year-over-year DECREASE? yes / no / unknown",unknown,,As no 2 years history
