tag_id,entity,value_type,allowed_values,description,produced_by,decision,used_by_rules,type_raw
txn.is_money_in,transaction,enum,"[""in"", ""out"", ""unknown""]","Direction of funds, RESOLVED by AI from any label (credit/transfer/ACH/wire/Zelle/null). Replaces raw transaction_type string-matching.",AI,"AS-1, AS-7, AS-8, AS-12",Deterministic-once-tagged,enum: in | out | unknown
txn.amount,transaction,number,,Transaction amount (absolute).,parsed,"AS-1, AS-3, AS-8, DT-6",Deterministic-once-tagged,number
txn.date,transaction,date,,Transaction date.,parsed,"AS-1, AS-8, AS-10",Deterministic-once-tagged,date
txn.apparent_category,transaction,enum,"[""payroll"", ""transfer_own"", ""transfer_third_party_in"", ""transfer_third_party_out"", ""debt_payment"", ""gift"", ""loan_proceeds"", ""refund"", ""interest"", ""fee"", ""vendor"", ""unknown""]","AI's classification of what the transaction IS, from the description. The key structuring judgment.",AI,"AS-1, AS-2, AS-5, AS-12, IN-1",Deterministic-once-tagged,enum: payroll | transfer_own | transfer_third_party_in | transfer_third_party_out | debt_payment | gift | loan_proceeds | refund | interest | fee | vendor | unknown
txn.has_identified_source,transaction,enum,"[""yes"", ""no"", ""unknown""]","Does this money-in have a visible, traceable source (matched payroll, transfer from own account)? no/unknown = needs sourcing.",AI,"AS-1, AS-2, AS-5",Deterministic-once-tagged,enum: yes | no | unknown
txn.source_reference,transaction,string,,"What the source was matched to (e.g. 'payroll deposit 3d prior', 'transfer from SAV 5683'). Provenance for has_identified_source.",AI,"AS-1, AS-5",AI-at-rule-time,string | null
txn.counterparty,transaction,string,,"The other party if visible (employer, person, institution).",AI,"AS-2, AS-5, AS-12, FR-5",AI-at-rule-time,string | null
txn.is_recurring,transaction,enum,"[""yes"", ""no"", ""unknown""]",Does this appear to be a recurring debit/credit (pattern across statements)?,AI,"FR-5, CR-1",AI-at-rule-time,enum: yes | no | unknown
txn.is_nsf_or_overdraft,transaction,enum,"[""yes"", ""no""]",Is this an NSF/overdraft/returned-item line?,AI,AS-7,Deterministic-once-tagged,enum: yes | no
txn.implies_obligation,transaction,enum,"[""yes"", ""no"", ""unknown""]","Does this debit imply an undisclosed monthly obligation (garnishment, loan payment, support)?",AI,"FR-4, FR-5, CR-1",AI-at-rule-time,enum: yes | no | unknown
stmt.account_masked,statement,masked string,,"Masked account number (display only, non-matchable — no raw on branch).",parsed,"AS-6, AS-8",AI-at-rule-time,masked string
stmt.beginning_balance,statement,number,,Statement opening balance.,parsed,AS-8,Deterministic-once-tagged,number
stmt.ending_balance,statement,number,,Statement closing balance.,parsed,"AS-8, AS-3",Deterministic-once-tagged,number
stmt.period_start,statement,date,,Statement period start.,parsed,AS-10,Deterministic-once-tagged,date
stmt.period_end,statement,date,,Statement period end.,parsed,AS-10,Deterministic-once-tagged,date
stmt.page_count_declared,statement,int,,'Page X of Y' declared count.,parsed,AS-9,Deterministic-once-tagged,int | null
stmt.page_count_present,statement,int,,Actual pages extracted.,derived,AS-9,Deterministic-once-tagged,int
stmt.owner_matches_borrower,statement,enum,"[""yes"", ""no"", ""unknown""]",Does the account holder resolve to a borrower (fuzzy name)?,AI,AS-6,Deterministic-once-tagged,enum: yes | no | unknown
stmt.is_reserve_eligible,statement,enum,"[""yes"", ""no"", ""partial""]",Are these funds usable as reserves (vs restricted/retirement discount)?,AI,AS-4,Hybrid,enum: yes | no | partial
income.type,income,enum,"[""base"", ""bonus"", ""overtime"", ""commission"", ""self_employment"", ""rental"", ""other""]",Income category (drives treatment).,AI,"IN-11, IN-12, IN-13, DT-1",Deterministic-once-tagged,enum: base | bonus | overtime | commission | self_employment | rental | other
income.stated_monthly,income,number,,Monthly amount claimed on the application (MISMO).,parsed,"IN-1, DT-1",Deterministic-once-tagged,number
income.documented_monthly,income,number,,Monthly amount the DOCUMENTS actually support (AI computes from paystub/W2/frequency). The hard structuring step.,AI,"IN-1, IN-3, DT-1",Deterministic-once-tagged,number | unknown
income.qualifying_monthly,income,number,,The amount usable for qualifying after AI applies continuity/averaging/history rules.,AI,"DT-1, AS-1 (threshold), AS-3",Hybrid,number | unknown
income.has_2yr_history,income,enum,"[""yes"", ""no"", ""unknown""]",Is there a 2-year history (needed for variable income).,AI,"IN-11, IN-13",Deterministic-once-tagged,enum: yes | no | unknown
income.is_declining,income,enum,"[""yes"", ""no"", ""unknown""]",Year-over-year decline detected.,AI,IN-10,Deterministic-once-tagged,enum: yes | no | unknown
income.employer_normalized,income,string,,Canonicalized employer name (for cross-doc matching).,AI,"IN-5, IN-6",AI-at-rule-time,string
income.employment_start,income,date,,Employment start date.,parsed,"IN-4, IN-7",Deterministic-once-tagged,date | null
income.employment_end,income,date,,Employment end date (null = current).,parsed,IN-4,Deterministic-once-tagged,date | null
income.pay_date,income,date,,Most recent pay date.,parsed,IN-2,Deterministic-once-tagged,date
income.ytd_gross,income,number,,Year-to-date gross from the paystub.,parsed,IN-3,Deterministic-once-tagged,number
income.same_line_of_work,income,enum,"[""yes"", ""no"", ""unknown""]",Is a new job in the same field/stability as prior?,AI,IN-7,AI-at-rule-time,enum: yes | no | unknown
income.continuance_3yr,income,enum,"[""yes"", ""no"", ""unknown""]",Will this income likely continue 3+ years (for other/rental income).,AI,"IN-13, IN-14",AI-at-rule-time,enum: yes | no | unknown
liab.account_type,liability,enum,"[""revolving"", ""installment"", ""mortgage"", ""heloc"", ""open_30"", ""collection"", ""lease"", ""student"", ""other""]",Liability type (drives DTI treatment).,AI,"CR-1, DT-1, CR-2, CR-9",Deterministic-once-tagged,enum: revolving | installment | mortgage | heloc | open_30 | collection | lease | student | other
liab.monthly_payment,liability,number,,Monthly payment used for DTI.,parsed/AI,"CR-1, DT-1",Deterministic-once-tagged,number
liab.balance,liability,number,,Unpaid balance.,parsed,"CR-2, CR-9, CR-10",Deterministic-once-tagged,number
liab.in_application,liability,enum,"[""yes"", ""no""]",Is this tradeline reflected in the app's liabilities? (report-vs-app).,AI,"CR-1, CR-4",Deterministic-once-tagged,enum: yes | no
liab.dti_payment,liability,number,,"The payment amount that SHOULD count in DTI per program rules (e.g. open-30 = balance if unpaid; student = % of balance). AI applies method, code sums.",AI,"DT-1, CR-9",Hybrid,number | unknown
liab.is_derogatory,liability,enum,"[""yes"", ""no"", ""unknown""]",Any derogatory mark.,AI,"CR-6, CR-8",Deterministic-once-tagged,enum: yes | no | unknown
liab.derogatory_type,liability,enum,"[""bankruptcy"", ""foreclosure"", ""short_sale"", ""deed_in_lieu"", ""collection"", ""charge_off"", ""none""]",Type of derogatory event.,AI,"CR-6, CR-10",Deterministic-once-tagged,enum: bankruptcy | foreclosure | short_sale | deed_in_lieu | collection | charge_off | none
liab.derogatory_date,liability,date,,Date of the derogatory event (for seasoning).,AI,CR-6,Deterministic-once-tagged,date | null
liab.payment_status,liability,enum,"[""current"", ""30"", ""60"", ""90"", ""120+"", ""unknown""]",Worst/current delinquency status.,AI,CR-8,AI-at-rule-time,enum: current | 30 | 60 | 90 | 120+ | unknown
liab.is_disputed,liability,enum,"[""yes"", ""no""]",Marked as disputed on the report.,AI,CR-12,Deterministic-once-tagged,enum: yes | no
liab.heloc_credit_limit,liability,number,,HELOC credit LIMIT (not balance) — needed for HCLTV.,parsed/AI,"CR-2, PR-1",Deterministic-once-tagged,number | null
liab.excluded_paid_off,liability,enum,"[""yes"", ""no""]",Marked paid-off/excluded to qualify (needs payoff evidence).,AI,CR-3,Deterministic-once-tagged,enum: yes | no
liab.representative_score,borrower,int,,Representative credit score (mid of 3 / lower of 2).,AI,CR-7,Deterministic-once-tagged,int | unknown
liab.has_open_judgment_lien,liability,enum,"[""yes"", ""no""]",Open judgment/tax lien present & unresolved.,AI,"CR-11, TI-4",Deterministic-once-tagged,enum: yes | no
id.ssn_hash,borrower,match_hash,,Hashed SSN for cross-doc exact match.,parsed,ID-2,Deterministic-once-tagged,match_hash | null
id.dob,borrower,date,,Date of birth (normalized).,parsed,ID-3,Deterministic-once-tagged,date
id.name_normalized,borrower,string,,Canonical name for fuzzy cross-source match.,AI,ID-1,AI-at-rule-time,string
id.address_normalized,doc,string,,Canonicalized address for tolerant match.,AI,"ID-4, PR-7",AI-at-rule-time,string
id.current_address_type,borrower,enum,"[""residence"", ""mailing"", ""prior"", ""unknown""]",Type of a stated address (so DL vs residence compares correctly — the absent≠empty address trap).,AI,ID-4,Deterministic-once-tagged,enum: residence | mailing | prior | unknown
